Timestamp,Global_Target_X,Global_Target_Y,Global_Target_Z,PiOne_Global_X,PiOne_Global_Y,PiOne_Global_Z
01:13:52.696112,58.42351717570199,40.0034171022239,32.71726243080182,21.010367010320536,70.95426664449947,93.7606986652901
01:13:52.911365,56.11935972544875,36.02798862896537,29.691774944533414,20.31402265239901,65.12619675578767,86.26272261993853
01:13:53.122570,57.19438722223031,35.462022518060664,28.288637811003518,23.79456249309183,63.68706275372703,86.74202789026106
01:13:53.343911,57.267444367761165,35.923800130219156,30.098511587609217,19.16095977836617,66.78182291190282,85.52123492599537
01:13:53.559209,57.52806624494841,38.36645090011685,33.87531607890546,17.558186852960475,69.25868428642,91.98795375605891
01:13:53.770453,57.18373127063941,35.455415548152935,30.80477862726969,19.366382577166284,65.42907677676146,86.90671950589595
01:13:53.991729,57.5776549564216,37.39136632720646,32.599070138639085,22.2148780259704,68.34913732459691,92.32419401996962
01:13:54.213107,59.876277421065446,38.439886923597136,36.56783416469553,22.50882888976134,70.69460326103965,99.52263592160251
01:13:54.423362,58.57827003041942,38.18669381710734,34.55955288428602,21.27981621388213,71.53536039979791,94.39843472587938
01:13:54.644754,59.95048272103232,38.19266966262317,23.92194819735525,22.461367650536936,70.66675982434364,80.18027841963972
01:13:54.855887,54.77366656845475,34.35945626573384,29.330414517542465,19.03011891497757,61.4902856097698,84.35147321553922
01:13:55.071150,57.74281908178005,35.94173940353935,33.911033796345464,19.88534070120236,66.81754536163538,92.1304114733878
01:13:55.287432,58.624770487250245,35.36472252458065,28.079755805146377,21.368446014760003,67.98016908558438,83.07247289047355
01:13:55.503646,57.189229400624114,37.281189622429515,28.55704713199958,19.912853745519733,67.14519788506657,85.07795325096309
01:13:55.719856,59.748838229758945,36.32786306173726,34.55955288428602,19.592192547299305,69.6665526321627,92.52484927152277
