frame_index,time_node1,time_node2,node1_x_cm,node1_y_cm,node1_z_cm,node2_x_cm,node2_y_cm,node2_z_cm,distance_cm
1,2025-12-01T08:16:20.391,2025-12-01T08:16:20.792,,,,,,,
2,2025-12-01T08:16:21.764,2025-12-01T08:16:22.328,,,,127.74041676665804,1.3377434166200226,-8.037186499752112,
3,2025-12-01T08:16:23.212,2025-12-01T08:16:23.928,126.07999039398905,0.220051318764055,-15.257378532000182,127.70280967699986,0.4457687091025887,-8.705957205151766,6.753192738808602
4,2025-12-01T08:16:24.506,2025-12-01T08:16:25.465,128.54679568734554,0.44871478801255177,-10.794441789868698,126.67015603716695,1.1054337047711422,-9.080175430251112,2.6252171841521084
5,2025-12-01T08:16:25.789,2025-12-01T08:16:26.968,127.32118490204358,0.4444365819260285,-13.157444708767592,126.67015603716695,1.1054337047711422,-9.080175430251112,4.1814926221202855
6,2025-12-01T08:16:27.224,2025-12-01T08:16:28.535,127.32118490204358,0.4444365819260285,-13.157444708767592,126.67015603716695,1.1054337047711422,-9.080175430251112,4.1814926221202855
7,2025-12-01T08:16:28.570,2025-12-01T08:16:30.295,127.32118490204358,0.4444365819260285,-13.157444708767592,126.67015603716695,1.1054337047711422,-9.080175430251112,4.1814926221202855
8,2025-12-01T08:16:29.961,2025-12-01T08:16:31.786,127.32118490204358,0.4444365819260285,-13.157444708767592,123.83198669165088,4.107930083439547,-4.976342274037407,9.619050152410454
9,2025-12-01T08:16:31.329,2025-12-01T08:16:33.150,127.32118490204358,0.4444365819260285,-13.157444708767592,128.60566796995823,6.289866511498976,-7.875261599996537,7.982506261061927
10,2025-12-01T08:16:32.581,2025-12-01T08:16:34.615,127.71547552948628,0.891636707306884,-8.483059251200018,123.68881825654405,5.400370432320295,-6.921866619152311,6.243394191557338
11,2025-12-01T08:16:33.851,2025-12-01T08:16:35.988,124.1208248184403,-4.334394712610354,-14.15040172098834,127.7879603429557,-1.784372480955243,-7.145152639124967,8.308069031733295
12,2025-12-01T08:16:35.125,2025-12-01T08:16:37.317,126.27444967632754,-6.396787665862963,-11.951755791451319,127.7879603429557,-1.784372480955243,-7.145152639124967,6.831436323345053
13,2025-12-01T08:16:36.384,2025-12-01T08:16:38.773,126.27444967632754,-6.396787665862963,-11.951755791451319,127.7879603429557,-1.784372480955243,-7.145152639124967,6.831436323345053
14,2025-12-01T08:16:37.666,2025-12-01T08:16:40.072,126.27444967632754,-6.396787665862963,-11.951755791451319,127.7879603429557,-1.784372480955243,-7.145152639124967,6.831436323345053
15,2025-12-01T08:16:39.051,2025-12-01T08:16:41.573,126.27444967632754,-6.396787665862963,-11.951755791451319,127.7879603429557,-1.784372480955243,-7.145152639124967,6.831436323345053
16,2025-12-01T08:16:40.335,2025-12-01T08:16:43.183,125.23831738801691,-0.43716597319543127,-13.826523197471705,125.76498460115523,-0.0,-7.692115981391966,6.172474733379309
17,2025-12-01T08:16:41.584,2025-12-01T08:16:44.559,123.50438926316086,-1.077806476678014,-11.022892811438748,125.80872191080432,1.3175140159201841,-6.813930436081687,5.363102972200679
18,2025-12-01T08:16:42.749,2025-12-01T08:16:45.882,125.47206950356903,-1.5330067867423176,-11.4197051049203,122.90016595282422,1.5015834937836698,-4.721700517764953,7.790166332919382
19,2025-12-01T08:16:43.950,2025-12-01T08:16:47.229,131.1675755178832,-1.6025939817923438,-14.713899051234963,125.41365961972821,9.209803462684661,-7.911605460693485,14.010234999895442
20,2025-12-01T08:16:45.157,2025-12-01T08:16:48.640,124.53633324326842,-1.3041891058685178,-10.677115392170935,125.41365961972821,9.209803462684661,-7.911605460693485,10.90696046034476
21,2025-12-01T08:16:46.549,2025-12-01T08:16:50.020,124.53633324326842,-1.3041891058685178,-10.677115392170935,125.41365961972821,9.209803462684661,-7.911605460693485,10.90696046034476
22,2025-12-01T08:16:47.780,2025-12-01T08:16:51.444,124.53633324326842,-1.3041891058685178,-10.677115392170935,125.41365961972821,9.209803462684661,-7.911605460693485,10.90696046034476
23,2025-12-01T08:16:48.868,2025-12-01T08:16:52.902,124.53633324326842,-1.3041891058685178,-10.677115392170935,125.41365961972821,9.209803462684661,-7.911605460693485,10.90696046034476
24,2025-12-01T08:16:50.186,2025-12-01T08:16:54.135,124.53633324326842,-1.3041891058685178,-10.677115392170935,99.78882602525111,-17.05721640612279,-79.95149510157306,75.22989210912641
25,2025-12-01T08:16:51.256,2025-12-01T08:16:55.445,124.53633324326842,-1.3041891058685178,-10.677115392170935,120.75685166204677,-19.3421138493596,-63.93485284654092,56.356346659744055
26,2025-12-01T08:16:52.331,2025-12-01T08:16:56.889,118.84290602573826,-40.920894188250436,-24.204216702706088,122.3244641013356,-17.40934931568811,-56.829922036946435,40.36521568733342
27,2025-12-01T08:16:53.406,2025-12-01T08:16:58.426,125.47824704510934,-39.80404459732766,18.969648182833048,125.57527080983023,-17.87200762334341,-54.363983523551255,76.54309373605659
28,2025-12-01T08:16:54.477,2025-12-01T08:16:59.718,138.86809670583196,-36.94994355729902,9.29265238842595,125.57527080983023,-17.87200762334341,-54.363983523551255,67.77045193468578
29,2025-12-01T08:16:55.545,2025-12-01T08:17:00.961,132.64505590645706,-36.03886405890176,12.267412967568928,125.57527080983023,-17.87200762334341,-54.363983523551255,69.42448798816984
30,2025-12-01T08:16:56.837,2025-12-01T08:17:02.253,129.03651366370607,-38.71280936243341,-8.711861614149328,125.57527080983023,-17.87200762334341,-54.363983523551255,50.303433819695236
31,2025-12-01T08:16:58.024,2025-12-01T08:17:03.634,129.03651366370607,-38.71280936243341,-8.711861614149328,118.01501562891372,-24.010426296226314,-43.3584537913973,39.217596002980166
32,2025-12-01T08:16:59.202,2025-12-01T08:17:05.084,129.03651366370607,-38.71280936243341,-8.711861614149328,129.68986660221498,-21.70264064863591,-25.797943514471594,24.118600797696242
33,2025-12-01T08:17:00.253,2025-12-01T08:17:06.360,129.03651366370607,-38.71280936243341,-8.711861614149328,99.21956231862303,-35.91698015131312,-59.215276661610396,58.71509328911026
34,2025-12-01T08:17:01.306,2025-12-01T08:17:07.662,129.03651366370607,-38.71280936243341,-8.711861614149328,108.78009940728688,32.428756072206255,-44.71314966036427,82.2650435604657
35,2025-12-01T08:17:02.369,2025-12-01T08:17:09.568,129.03651366370607,-38.71280936243341,-8.711861614149328,108.78009940728688,32.428756072206255,-44.71314966036427,82.2650435604657
36,2025-12-01T08:17:03.471,2025-12-01T08:17:10.743,131.05374163637273,-36.344419146642934,0.0,108.78009940728688,32.428756072206255,-44.71314966036427,85.00076776348541
37,2025-12-01T08:17:04.562,2025-12-01T08:17:12.046,123.41610082049714,-40.81597293849407,1.5882101085821319,108.78009940728688,32.428756072206255,-44.71314966036427,87.8795697626691
38,2025-12-01T08:17:05.651,2025-12-01T08:17:13.495,125.71422586101343,-35.573540199972896,-18.827019249127535,126.68589873226374,-4.423969067484277,-7.7531645209268225,33.07370841692817
39,2025-12-01T08:17:06.746,2025-12-01T08:17:14.952,123.752924616922,-23.607132925063087,1.9791219812894052,126.54225709034513,-1.766978051954035,-10.627086103204066,25.371031173332913
40,2025-12-01T08:17:07.843,2025-12-01T08:17:16.332,123.752924616922,-23.607132925063087,1.9791219812894052,126.66248446357308,3.3167738839214826,-8.637941914486518,29.087528979394563
41,2025-12-01T08:17:08.937,2025-12-01T08:17:18.018,123.752924616922,-23.607132925063087,1.9791219812894052,124.86885479583827,-1.743611429653533,-5.452423420667,23.11896925483035
42,2025-12-01T08:17:10.019,2025-12-01T08:17:19.418,123.752924616922,-23.607132925063087,1.9791219812894052,124.86885479583827,-1.743611429653533,-5.452423420667,23.11896925483035
43,2025-12-01T08:17:11.082,2025-12-01T08:17:20.761,123.752924616922,-23.607132925063087,1.9791219812894052,124.86885479583827,-1.743611429653533,-5.452423420667,23.11896925483035
44,2025-12-01T08:17:12.157,2025-12-01T08:17:22.077,125.19025155354976,-3.4968803566476616,-13.826523197471705,124.86885479583827,-1.743611429653533,-5.452423420667,8.561705138470444
45,2025-12-01T08:17:13.260,2025-12-01T08:17:23.531,125.19025155354976,-3.4968803566476616,-13.826523197471705,124.86885479583827,-1.743611429653533,-5.452423420667,8.561705138470444
46,2025-12-01T08:17:14.333,2025-12-01T08:17:24.864,126.58516897200538,-2.430559412632429,-9.964305157436307,124.5431620238633,-0.0,-10.677115392170935,3.253538053464111
47,2025-12-01T08:17:15.398,2025-12-01T08:17:26.246,126.71192774405391,-2.4329933053944193,-8.195603148125665,125.629279999736,2.8509271839411725,-9.228012838081593,5.491612845404529
48,2025-12-01T08:17:16.463,2025-12-01T08:17:27.625,129.27276546100526,-3.1593583367778604,-13.363029782342085,115.56559175243166,30.10258188781299,-24.948518324698423,37.79506347853297
49,2025-12-01T08:17:17.530,2025-12-01T08:17:28.994,129.02523600782533,-2.927992206513542,-15.617789048504122,126.29380061286079,-11.493636237735119,-17.37159327159096,9.160066934219646
50,2025-12-01T08:17:18.599,2025-12-01T08:17:30.391,129.02523600782533,-2.927992206513542,-15.617789048504122,126.29380061286079,-11.493636237735119,-17.37159327159096,9.160066934219646
